
                   **** ELAST ****

This programm is free software an may be freely distributed
for no-commercial purposes .

 (C) 1996-98 by Boris Harss, ANL

Reaction: 58NI(126XE,126XE)58NI    Q = 0.000000

Angle     Energy3_+ Angle4_-  Energy4_- Energy3_- Angle4_+  Energy4_+ 
     19.2   416.372  -57.6072   137.628   100.505  -13.1825   453.495 
     19.3    414.88  -57.4091    139.12   100.866  -13.2794   453.134 
     19.4   413.377  -57.2103   140.623   101.232   -13.377   452.768 
     19.5   411.864  -57.0109   142.136   101.604  -13.4753   452.396 
     19.6   410.341  -56.8107   143.659    101.98  -13.5743    452.02 
     19.7   408.808  -56.6098   145.192   102.362   -13.674   451.638 
     19.8   407.264  -56.4081   146.736    102.75  -13.7745    451.25 
     19.9    405.71  -56.2057    148.29   103.143  -13.8758   450.857 
       20   404.145  -56.0025   149.855   103.542  -13.9779   450.458 
     20.1    402.57  -55.7985    151.43   103.946  -14.0807   450.054 
     20.2   400.984  -55.5937   153.016   104.357  -14.1844   449.643 
     20.3   399.386  -55.3881   154.614   104.774  -14.2889   449.226 
     20.4   397.778  -55.1816   156.222   105.197  -14.3943   448.803 
     20.5   396.159  -54.9742   157.841   105.626  -14.5006   448.374 
     20.6   394.528  -54.7659   159.472   106.062  -14.6078   447.938 
     20.7   392.885  -54.5567   161.115   106.505  -14.7159   447.495 
     20.8   391.231  -54.3466   162.769   106.955   -14.825   447.045 
     20.9   389.565  -54.1355   164.435   107.412   -14.935   446.588 
       21   387.888  -53.9234   166.112   107.876   -15.046   446.124 
     21.1   386.198  -53.7103   167.802   108.347  -15.1581   445.653 
     21.2   384.495  -53.4961   169.505   108.826  -15.2712   445.174 
     21.3   382.781  -53.2809   171.219   109.313  -15.3854   444.687 
     21.4   381.053  -53.0645   172.947   109.808  -15.5007   444.192 
     21.5   379.313  -52.8471   174.687   110.312  -15.6171   443.688 
     21.6   377.559  -52.6284   176.441   110.823  -15.7347   443.177 
     21.7   375.793  -52.4086   178.207   111.344  -15.8535   442.656 
     21.8   374.012  -52.1875   179.988   111.873  -15.9736   442.127 
     21.9   372.218  -51.9652   181.782   112.412  -16.0949   441.588 
       22    370.41  -51.7416    183.59    112.96  -16.2175    441.04 
     22.1   368.587  -51.5166   185.413   113.518  -16.3415   440.482 
     22.2    366.75  -51.2903    187.25   114.086  -16.4668   439.914 
     22.3   364.898  -51.0625   189.102   114.665  -16.5936   439.335 
