0  1  n   0       0.0     0.0      -1.0              -1.0              -1.0              -1.0              -1.0             
  16 F    9   14168.07  134.05   -535.90    8.34     -1.0           13384.61    8.32  -7566.42   12.65  10981.21    8.32    
  16 Ne  10      -1.0              73.57  135.35     -1.0            1095.0   401.0      -1.0            6528.08   22.59    
0 17 B    5    1436.70  148.71     -1.0           41764.61  136.07     -1.0            8697.97  173.76     -1.0             
  17 C    6     728.85   17.75  23334.07   62.47   4551.42   52.94   2780.46   28.31   2236.92   27.43 -13199.39  109.45    
  17 N    7    5883.94   15.25  13112.27   15.44     -1.0            8708.48   15.04   9714.98   15.02 -10146.50   25.99    
  17 O    8    4143.33    0.21  13781.40    2.63     -1.0            9800.37    0.21   1191.64    0.21   1817.52    0.21    
  17 F    9   16799.88    8.32    600.27    0.25     -1.0            9807.12    0.56  -1190.70    0.26   4734.70    0.25    
  17 Ne  10   15578.55   54.03   1484.05   50.69     -1.0           10418.98  142.83 -12259.0   404.0   14125.13   50.00    
0 18 B    5    -534.0   813.0      -1.0           51449.0   801.0      -1.0              -1.0              -1.0             
  18 C    6    4183.88   34.66  26081.24  139.34  19617.25   30.05  -1446.84   67.09    821.16   37.42     -1.0             
  18 N    7    2825.01   25.00  15208.42   26.49 -12201.0   401.0   10133.83   20.33   8108.05   20.03 -10203.39   30.00    
  18 O    8    8044.39    0.78  15941.85   15.00     -1.0            4245.31    2.74   3980.56    0.79  -5008.80    1.13    
  18 F    9    9149.59    0.64   5606.54    0.56     -1.0           16321.24    0.59   2882.10    0.78   6418.40    0.59    
  18 Ne  10   19249.71   50.02   3933.89    1.52     -1.0            5337.33    8.45  -6606.16  133.80   8097.81    1.58    
  18 Na  11      -1.0           -1544.0   404.0      -1.0           12036.0   401.0      -1.0           14187.0   422.0     
0 19 B    5    1029.0   896.0      -1.0           60852.0   401.0      -1.0              -1.0              -1.0             
  19 C    6     161.98  111.81  26778.0   808.0   31082.32  107.71   -172.12  173.54    615.75  123.29     -1.0             
  19 N    7    5328.01   25.87  16352.56   34.19   2931.83   20.34   5534.67   23.89   7030.39   16.81 -15574.83   62.21    
  19 O    8    3955.69    3.05  17072.54   20.23     -1.0            6173.55   15.31   2514.19    4.10  -4714.14    4.77    
  19 F    9   10432.16    0.60   7994.31    0.79     -1.0           10032.41    0.22   8113.65    0.07  -1524.43    2.62    
  19 Ne  10   11627.05    1.61   6411.34    0.84     -1.0           10510.17    0.65  -4065.14    8.34  12134.47    0.60    
  19 Na  11   20461.0   401.0    -332.87   12.09     -1.0            7154.26   51.42  -6199.72   23.74   7894.78   14.60    
0 20 C    6    3344.64  227.91  29093.0   448.0   44601.99  200.85  -4051.0   826.0   -1292.19  242.60     -1.0             
  20 N    7    2165.28   55.10  18355.86  119.86  14921.63   53.02   7553.27   60.56   5593.96   55.39 -16303.41  145.88    
  20 O    8    7607.98    3.18  19352.51   16.43 -13773.62   27.03   1390.58   20.02    790.15   15.03 -11593.27   17.39    
  20 F    9    6601.31    0.05  10639.93    3.15     -1.0           11475.48    0.79   5655.66    0.22  -2241.80   15.02    
  20 Ne  10   16864.31    0.60  12843.49    0.07     -1.0            2795.45    0.59  -4129.57    0.25   -586.52    0.21    
  20 Na  11   14155.09   13.73   2195.17    6.69     -1.0           12248.89    6.83  -4776.26   50.44  10539.57    6.67    
  20 Mg  12      -1.0            2647.06   29.55     -1.0            2963.0   401.0      -1.0            6731.77   56.82    
0 21 C    6    -329.0   542.0      -1.0           51692.0   503.0   -2693.0   643.0   -1498.0   946.0      -1.0             
  21 N    7    4605.91  103.69  19617.12  219.83  27416.17   89.37   3109.33  139.95   5171.93   94.27 -21444.0   806.0     
  21 O    8    3806.50   12.03  20993.73   53.95  -2849.95   20.35   2912.10   20.32   -191.34   23.32 -11215.89   32.31    
  21 F    9    8101.51    1.80  11133.46    2.16 -26167.0   298.0    7329.66    3.63   5598.54    1.97  -7518.30   20.10    
  21 Ne  10    6761.11    0.04  13003.29    0.09     -1.0            6466.49    0.08  -1741.09    0.59    696.76    0.79    
  21 Na  11   17100.44    6.70   2431.30    0.70     -1.0            6775.49    0.92  -2626.98    1.66   2588.72    0.92    
  21 Mg  12   14730.17   31.60   3222.15   17.72     -1.0            8693.87   20.33  -9542.0   401.0   11251.31   16.48    
  21 Al  13      -1.0           -1260.0   299.0      -1.0              -1.0              -1.0            6447.0   499.0     
0 22 C    6    1448.0  1034.0      -1.0           60607.0   904.0      -1.0           -1917.0   988.0      -1.0             
  22 N    7    1222.34  215.32  21168.0   540.0   37262.99  195.91   5231.64  280.57   4111.57  223.56 -21637.0   446.0     
  22 O    8    6848.71   58.17  23236.53  105.96   9681.11   56.94  -1771.34   77.50  -1712.04   59.24 -17902.63  121.83    
  22 F    9    5229.96   12.53  12556.92   17.27 -15389.0    94.0    9707.68   12.46   4324.28   12.80  -7420.25   20.58    
  22 Ne  10   10363.95    0.22  15265.73    1.81 -40189.0   200.0    2703.86    0.23  -1672.88    0.23  -5711.50    3.16    
  22 Na  11   11069.17    0.83   6739.35    0.45     -1.0           12570.63    0.45  -2069.10    0.75   1951.71    0.46    
  22 Mg  12   19379.77   16.47   5501.47    1.52     -1.0            3469.18    6.80  -8461.33   12.07   3498.59    1.48    
  22 Al  13   16008.0   312.0      18.0    95.0      -1.0           11323.0    97.0      -1.0           10901.0    94.0     
  22 Si  14      -1.0            1244.0   359.0      -1.0              -1.0              -1.0              -1.0             
0 23 N    7    2417.0   735.0   22137.0  1148.0   47264.0   708.0    2486.0   868.0    5039.0   736.0      -1.0             
  23 O    8    2739.30  116.96  24753.49  220.95  20089.04  102.18     95.27  135.74  -2286.06  114.92 -17297.28  225.34    
